item,reported,independent,difference,scope
headline,6693.875025,6693.875025301353,3.013528839801438e-07,曲线／逐日独立复算
reference,6214.361782,6214.361781989832,-1.0168150765821338e-08,曲线／逐日独立复算
baseline,5786.100871,5786.1008710125425,1.2542841432150453e-08,曲线／逐日独立复算
oracle,9000.886096,9000.886095779735,-2.2026506485417485e-07,曲线／逐日独立复算
paired_gain,479.513243,479.5132433115219,3.1152188739724807e-07,曲线／逐日独立复算
relative_gain_pct,7.7162,7.71621061234678,1.0612346780014548e-05,曲线／逐日独立复算
capture_headline,0.743691,0.7436906715706495,-3.2842935049348654e-07,曲线／逐日独立复算
capture_reference,0.690417,0.690416667410509,-3.325894909478322e-07,曲线／逐日独立复算
single_seed_mean,6375.354942,6375.354942863501,8.635006452095695e-07,曲线／逐日独立复算
ensemble_increment,318.520082,318.5200824378518,4.3785178149846615e-07,曲线／逐日独立复算
nonensemble_remainder,160.993161,160.99316087366878,-1.2633120149985189e-07,曲线／逐日独立复算
paired_iid_se,451.61691,451.61691024350444,2.4350441663045785e-07,曲线／逐日独立复算
wins,25.0,25.0,0.0,曲线／逐日独立复算
ties,14.0,14.0,0.0,曲线／逐日独立复算
losses,20.0,20.0,0.0,曲线／逐日独立复算
dec30_share_total_gain_pct,86.0244,86.02444601100147,4.601100147283432e-05,曲线／逐日独立复算
without_dec30_gain,68.1701,68.1700568965617,-4.3103438301272945e-05,曲线／逐日独立复算
dec30_share_ensemble_gain_pct,94.4623,94.4622824294941,-1.757050590356357e-05,曲线／逐日独立复算
worst_day_headline,-5922.66,-5922.655435740129,0.004564259870676324,曲线／逐日独立复算
worst_day_reference,-2340.48,-2340.480183277339,-0.0001832773391470255,曲线／逐日独立复算
worst_day_baseline,-12064.47,-12064.46852572849,0.0014742715102329385,曲线／逐日独立复算
negative_days_headline,1.0,1.0,0.0,曲线／逐日独立复算
negative_days_reference,2.0,2.0,0.0,曲线／逐日独立复算
negative_days_baseline,3.0,3.0,0.0,曲线／逐日独立复算
median_headline,6984.89,6984.886702321393,-0.00329767860694119,曲线／逐日独立复算
median_reference,6683.35,6683.354046019838,0.0040460198379150825,曲线／逐日独立复算
gross_winning_day_total,46151.09,46151.087216119486,-0.0027838805108331144,曲线／逐日独立复算
gross_losing_day_total,-17859.81,-17859.805860739696,0.004139260305237258,曲线／逐日独立复算
total_gain,28291.28,28291.28135537979,0.0013553797907661647,曲线／逐日独立复算
worst_paired_difference,-3582.18,-3582.17525246279,0.004747537209823349,曲线／逐日独立复算
tie_days_same_window,3.0,3.0,0.0,曲线／逐日独立复算
tie_days_other_window,11.0,11.0,0.0,曲线／逐日独立复算
median_distinct_prices_per_day,35.0,35.0,0.0,曲线／逐日独立复算
min_distinct_prices_per_day,15.0,15.0,0.0,曲线／逐日独立复算
oracle_value_days_headline,5.0,5.0,0.0,曲线／逐日独立复算
oracle_value_days_reference,3.0,3.0,0.0,曲线／逐日独立复算
equal_adjacent_slot_pct,42.09,42.08742194469224,-0.0025780553077652257,曲线／逐日独立复算
7-day interval lower,-227.87,-227.8699673156423,3.2684357705647926e-05,曲线／逐日独立复算
7-day interval upper,1626.28,1626.2763094635384,-0.0036905364615904546,曲线／逐日独立复算
v1 Pearson mse,0.351386,0.3513864518304008,4.5183040081608894e-07,曲线／逐日独立复算
v1 Pearson cmse,0.251892,0.2518919545858135,-4.541418652248552e-08,曲线／逐日独立复算
v1 Pearson proxy,0.319585,0.3195849083858436,-9.161415642777726e-08,曲线／逐日独立复算
v2 Pearson mse,0.004954,0.0049536830917776,-3.169082224002695e-07,曲线／逐日独立复算
v2 Pearson cmse,-0.108198,-0.1081981710812405,-1.7108124049369788e-07,曲线／逐日独立复算
v2 Pearson proxy,-0.165334,-0.1653344205714718,-4.205714717875342e-07,曲线／逐日独立复算
v1 Pearson T,0.849366,0.8493657529573844,-2.470426155865013e-07,曲线／逐日独立复算
v1 partial T | amplitude,0.824054,0.8240543637358435,3.63735843555979e-07,曲线／逐日独立复算
v2 Pearson T,0.776688,0.7766883444662975,3.4446629748607904e-07,曲线／逐日独立复算
v2 partial T | amplitude,0.71288,0.7128798904539381,-1.0954606188828819e-07,曲线／逐日独立复算
selection-only transformer,3.99,3.9946041971388695,0.0046041971388692815,曲线／逐日独立复算
selection-only lstm,-28.72,-28.72338367989505,-0.0033836798950517277,曲线／逐日独立复算
selection-only dlinear,0.0,0.0,0.0,曲线／逐日独立复算
same-init CE Transformer,6570.71,6570.706822364337,-0.0031776356627233326,曲线／逐日独立复算
same-init CE Transformer epochs,29.0,29.0,0.0,原始逐轮日志／comparison 字段，未重训
early-minus-control CE LSTM,137.79,137.79065860484843,0.0006586048484393814,曲线／逐日独立复算
val30 capture aggregate,0.599646,0.5996456339894012,-3.660105988290141e-07,仅独立汇总原始逐轮日志；缺曲线，结算未核实
val30 realized aggregate,8290.24,8290.240006909395,6.909394869580865e-06,仅独立汇总原始逐轮日志；缺曲线，结算未核实
v2 Transformer RMSE rank,15.0,15.0,0.0,曲线／逐日独立复算
p05_headline,442.8000742785092,442.800074278509,-2.2737367544323206e-13,原 ZIP summary 对照独立逐日复算；新增键补查
p05_reference,468.1453477639466,468.1453477639466,0.0,原 ZIP summary 对照独立逐日复算；新增键补查
paired_median,0.0,0.0,0.0,原 ZIP summary 对照独立逐日复算；新增键补查
