item,report_record,independent,difference
headline,6693.875025301354,6693.875025301353,-9.094947017729282e-13
reference,6214.361781989832,6214.361781989832,0.0
baseline,5786.1008710125425,5786.1008710125425,0.0
oracle,9000.886095779735,9000.886095779735,0.0
paired_gain,479.513243311522,479.5132433115219,-1.1368683772161603e-13
relative_gain_pct,7.716210612346782,7.71621061234678,-2.6645352591003757e-15
capture_headline,0.7436906715706496,0.7436906715706495,-1.1102230246251565e-16
capture_reference,0.690416667410509,0.690416667410509,0.0
single_seed_mean,6375.354942863501,6375.354942863501,0.0
ensemble_increment,318.52008243785184,318.5200824378518,-5.684341886080802e-14
nonensemble_remainder,160.99316087366878,160.99316087366878,0.0
paired_iid_se,451.61691024350444,451.61691024350444,0.0
wins,25,25,0
ties,14,14,0
losses,20,20,0
dec30_share_total_gain_pct,86.02444601100146,86.02444601100147,1.4210854715202004e-14
without_dec30_gain,68.1700568965618,68.1700568965617,-9.947598300641403e-14
dec30_share_ensemble_gain_pct,94.46228242949407,94.4622824294941,2.842170943040401e-14
worst_day_headline,-5922.655435740127,-5922.655435740129,-1.8189894035458565e-12
worst_day_reference,-2340.480183277341,-2340.480183277339,1.8189894035458565e-12
worst_day_baseline,-12064.46852572849,-12064.46852572849,0.0
negative_days_headline,1,1,0
negative_days_reference,2,2,0
negative_days_baseline,3,3,0
median_headline,6984.88670232139,6984.886702321393,3.637978807091713e-12
median_reference,6683.354046019838,6683.354046019838,0.0
gross_winning_day_total,46151.087216119486,46151.087216119486,0.0
gross_losing_day_total,-17859.805860739696,-17859.805860739696,0.0
total_gain,28291.281355379797,28291.28135537979,-7.275957614183426e-12
worst_paired_difference,-3582.1752524627864,-3582.17525246279,-3.637978807091713e-12
worst_paired_day,2025-12-12,2025-12-12,False
tie_days_same_window,3,3,0
tie_days_other_window,11,11,0
equal_adjacent_slot_share,0.4208742194469224,0.4208742194469224,0.0
median_distinct_prices_per_day,35.0,35.0,0.0
min_distinct_prices_per_day,15,15,0
oracle_value_days_headline,5,5,0
oracle_value_days_reference,3,3,0
