方案,角色,59日日均原始调度分数,比Cursor原最佳多/少,负分日,不交易日,点预测RMSE（辅助）
匹配 LightGBM baseline,匹配基线,5786.100871012543,-515.2310936369713,3,0,0.5625259685360955
Notebook 11 / v2 Transformer,Notebook 11 参考,6214.361781989832,-86.970182659682,2,0,0.6827877171860671
Notebook 11 / v2 Ridge,Notebook 11 参考,6202.841477641694,-98.49048700781988,1,0,0.8079187762169173
Notebook 11 / v1 Transformer（历史参考）,非匹配历史参考,5637.171401873099,-664.1605627764147,4,0,0.5195576699847868
Notebook 11 / v1 LSTM（历史参考）,非匹配历史参考,4554.389778014749,-1746.9421866347648,8,0,0.5528080180991081
Cursor 原结果 · Transformer,Cursor 原结果,6213.626563877091,-87.70540077242276,1,0,1.6212809129703454
Cursor 原结果 · LSTM,Cursor 原结果,6301.331964649514,0.0,1,0,0.8590587991965877
Cursor 原结果 · DLinear,Cursor 原结果,5537.905309633621,-763.4266550158927,5,0,0.8846482652606064
Codex 软遗憾 · Transformer,Codex 预先声明的分支,6170.572762761753,-130.75920188776036,3,0,1.0101317396426963
Codex 软遗憾 · LSTM,Codex 预先声明的分支,6485.729034957,184.3970703074865,1,0,0.9484137766392936
Codex 软遗憾 · DLinear,测试前选定的 Codex 主方案,5135.055607213882,-1166.2763574356322,5,0,1.110568699862538
同初始化 Cursor 损失 · Transformer,Cursor 损失对照（不是 Codex 新损失）,6570.706822364337,269.3748577148235,1,0,1.8854601474672863
同初始化 Cursor 损失 · LSTM,Cursor 损失对照（不是 Codex 新损失）,6163.541306044665,-137.79065860484843,1,0,0.8408227846012671
同初始化 Cursor 损失 · DLinear,Cursor 损失对照（不是 Codex 新损失）,5537.905309633621,-763.4266550158927,5,0,0.8775061811457262
MSE / 按调度分数选 · Transformer,只改选模对照,6134.299468228066,-167.03249642144783,2,0,0.6016904847238722
MSE / 按 RMSE 选 · Transformer,MSE 参照,6130.304864030927,-171.0271006185867,2,0,0.6309423830280793
MSE / 按调度分数选 · LSTM,只改选模对照,5840.463442874529,-460.8685217749844,1,0,0.5793747089302111
MSE / 按 RMSE 选 · LSTM,MSE 参照,5869.186826554424,-432.14513809508935,3,0,0.5286446754600312
MSE / 按调度分数选 · DLinear,只改选模对照,6186.444630889453,-114.88733376006076,3,0,0.5990314537275384
MSE / 按 RMSE 选 · DLinear,MSE 参照,6186.444630889453,-114.88733376006076,3,0,0.5990314537275384
