candidate,group,family,days,test_start,test_end,is_59_day_holdout,weights_fitted_on_holdout,realized_profit_mean,pred_profit_mean,capture,oracle_profit_mean,RMSE,MAE,negative_days,idle_days,worst_day_score,source,training_role,validation_realized,validation_rmse,best_epoch,final_epochs,lambda,tau,selection_policy,preselected_primary,difference_vs_lgb,improvement_vs_lgb_pct,difference_vs_cursor_best,improvement_vs_cursor_best_pct
lgb_baseline,baseline,lightgbm,59,2025-11-03,2025-12-31,True,False,5786.100871012543,8402.830520957976,0.6428368062257208,9000.886095779735,0.5625259685360955,0.4050878049549453,3,0,-12064.46852572849,reports/holdout_rmse_v2/predictions.parquet,historical_reference,,,,,,,,,0.0,0.0,-515.2310936369713,-8.176542618725993
nb11_v2_transformer,nb11_v2,transformer,59,2025-11-03,2025-12-31,True,False,6214.361781989832,10526.880876492643,0.690416667410509,9000.886095779735,0.6827877171860671,0.5102804163316322,2,0,-2340.480183277339,reports/holdout_rmse_v2/predictions.parquet,historical_reference,,,,,,,,,428.2609109772893,7.401545885983586,-86.970182659682,-1.380187286554413
nb11_v2_ridge,nb11_v2,ridge,59,2025-11-03,2025-12-31,True,False,6202.841477641694,10518.409097598773,0.6891367596074828,9000.886095779735,0.8079187762169173,0.6270218592046606,1,0,-135.63736193347643,reports/holdout_rmse_v2/predictions.parquet,historical_reference,,,,,,,,,416.7406066291514,7.202442818046199,-98.49048700781988,-1.563010607286709
nb11_v1_transformer,nb11_v1_context_only,transformer,59,2025-11-03,2025-12-31,True,False,5637.171401873099,6627.052077423718,0.6262907164791488,9000.886095779735,0.5195576699847868,0.3605949984216183,4,0,-5343.055848048974,reports/holdout_rmse_v1/predictions.parquet,historical_reference,,,,,,,,,-148.92946913944343,-2.5739176080658512,-664.1605627764147,-10.540002756597444
nb11_v1_lstm,nb11_v1_context_only,lstm,59,2025-11-03,2025-12-31,True,False,4554.389778014749,6349.921473885996,0.5059934910353077,9000.886095779735,0.5528080180991081,0.3757249943252362,8,0,-10865.899997609542,reports/holdout_rmse_v1/predictions.parquet,historical_reference,,,,,,,,,-1231.7110929977937,-21.287411340657275,-1746.9421866347648,-27.72337969869092
cursor_original_transformer,cursor_original,transformer,59,2025-11-03,2025-12-31,True,False,6213.626563877091,6739.601807321532,0.6903349845511862,9000.886095779735,1.6212809129703454,1.5104396666989597,1,0,-4976.842924233184,reports/holdout_dispatch_loss_v1/predictions.parquet,historical_reference,,,,,,,,,427.52569286454855,7.388839261451269,-87.70540077242276,-1.3918549485164446
cursor_original_lstm,cursor_original,lstm,59,2025-11-03,2025-12-31,True,False,6301.331964649514,6987.640471687004,0.7000790697267053,9000.886095779735,0.8590587991965877,0.666434775988618,1,0,-11244.297537262211,reports/holdout_dispatch_loss_v1/predictions.parquet,historical_reference,,,,,,,,,515.2310936369713,8.904633796106085,0.0,0.0
cursor_original_dlinear,cursor_original,dlinear,59,2025-11-03,2025-12-31,True,False,5537.905309633621,8710.17609183061,0.6152622364847158,9000.886095779735,0.8846482652606064,0.6917134243628071,5,0,-5692.057604324951,reports/holdout_dispatch_loss_v1/predictions.parquet,historical_reference,,,,,,,,,-248.1955613789214,-4.289513212988426,-763.4266550158927,-12.115321955718535
codex_soft_regret_transformer_realized,codex_main,transformer,59,2025-11-03,2025-12-31,True,False,6170.572762761753,6449.671036990012,0.6855516998104179,9000.886095779735,1.0101317396426963,0.8645063469828721,3,0,-9078.566378346166,reports\holdout_dispatch_loss_codex_v1\runs\20260914T221004Z\jobs\refit_soft_regret_transformer_realized_attempt1\final.pt,new_frozen_candidate,7403.957343536119,1.81117323203724,2.0,2.0,0.5,0.2,realized,False,384.47189174921095,6.644749207110349,-130.75920188776036,-2.075104162442477
codex_soft_regret_lstm_realized,codex_main,lstm,59,2025-11-03,2025-12-31,True,False,6485.729034957,7395.893044959185,0.7205656160895068,9000.886095779735,0.9484137766392936,0.7713966984750958,1,0,-12550.122498364042,reports\holdout_dispatch_loss_codex_v1\runs\20260914T221004Z\jobs\refit_soft_regret_lstm_realized_attempt1\final.pt,new_frozen_candidate,8196.012271909663,1.7867560102107296,32.0,36.0,1.0,0.1,realized,False,699.6281639444578,12.09153071370541,184.3970703074865,2.9263189329169528
codex_soft_regret_dlinear_realized,codex_main,dlinear,59,2025-11-03,2025-12-31,True,False,5135.055607213882,10957.69239223357,0.5705055649600506,9000.886095779735,1.110568699862538,0.9206162303525038,5,0,-3306.971546726766,reports\holdout_dispatch_loss_codex_v1\runs\20260914T221004Z\jobs\refit_soft_regret_dlinear_realized_attempt1\final.pt,new_frozen_candidate,8281.119908128554,1.8014497856121388,56.0,62.0,1.0,0.1,realized,True,-651.0452637986609,-11.251882369702464,-1166.2763574356322,-18.508410031060816
codex_cursor_ce_transformer_realized,matched_cursor_control,transformer,59,2025-11-03,2025-12-31,True,False,6570.706822364337,7857.375143506264,0.7300066629490133,9000.886095779735,1.8854601474672863,1.7981473630911962,1,0,-5577.15317748519,reports\holdout_dispatch_loss_codex_v1\runs\20260914T221004Z\jobs\refit_cursor_ce_transformer_realized_attempt1\final.pt,new_frozen_candidate,9038.743893693512,3.1137878869484616,26.0,29.0,0.5,0.2,realized,False,784.6059513517948,13.560184463470858,269.3748577148235,4.274887582911313
codex_cursor_ce_lstm_realized,matched_cursor_control,lstm,59,2025-11-03,2025-12-31,True,False,6163.541306044665,6985.307838152147,0.6847705037545779,9000.886095779735,0.8408227846012671,0.6413337001033288,1,0,-11244.297537262211,reports\holdout_dispatch_loss_codex_v1\runs\20260914T221004Z\jobs\refit_cursor_ce_lstm_realized_attempt1\final.pt,new_frozen_candidate,8499.014146470776,1.7852330046598632,31.0,34.0,0.5,0.2,realized,False,377.4404350321229,6.523225976288113,-137.79065860484843,-2.186690994504881
codex_cursor_ce_dlinear_realized,matched_cursor_control,dlinear,59,2025-11-03,2025-12-31,True,False,5537.905309633621,8716.24879302236,0.6152622364847158,9000.886095779735,0.8775061811457262,0.6841602397022856,5,0,-5692.057604324951,reports\holdout_dispatch_loss_codex_v1\runs\20260914T221004Z\jobs\refit_cursor_ce_dlinear_realized_attempt1\final.pt,new_frozen_candidate,7393.406994547695,1.7824659434827252,23.0,26.0,0.5,0.2,realized,False,-248.1955613789214,-4.289513212988426,-763.4266550158927,-12.115321955718535
codex_mse_transformer_realized,mse_realized_control,transformer,59,2025-11-03,2025-12-31,True,False,6134.299468228066,9517.058901109938,0.6815217305220947,9000.886095779735,0.6016904847238722,0.4208520295981698,2,0,-4143.4979163986245,reports\holdout_dispatch_loss_codex_v1\runs\20260914T221004Z\jobs\refit_mse_transformer_realized_attempt1\final.pt,new_frozen_candidate,8243.764470998818,1.1355630092170246,16.0,18.0,0.0,1.0,realized,False,348.1985972155235,6.017845263637622,-167.03249642144783,-2.650749037798683
codex_mse_transformer_rmse,mse_rmse_control,transformer,59,2025-11-03,2025-12-31,True,False,6130.304864030927,10370.037343795017,0.6810779293057887,9000.886095779735,0.6309423830280793,0.4572456288065742,2,0,-7083.890682698309,reports\holdout_dispatch_loss_codex_v1\runs\20260914T221004Z\jobs\refit_mse_transformer_rmse_attempt1\final.pt,new_frozen_candidate,6989.218913748239,0.9394818234923312,19.0,21.0,0.0,1.0,rmse,False,344.2039930183846,5.948807334880604,-171.0271006185867,-2.7141420508877983
codex_mse_lstm_realized,mse_realized_control,lstm,59,2025-11-03,2025-12-31,True,False,5840.463442874529,10097.496307944342,0.648876497349851,9000.886095779735,0.5793747089302111,0.3852570638580249,1,0,-12128.09576247458,reports\holdout_dispatch_loss_codex_v1\runs\20260914T221004Z\jobs\refit_mse_lstm_realized_attempt1\final.pt,new_frozen_candidate,7853.015075717121,1.0577731569842872,18.0,20.0,0.0,1.0,realized,False,54.36257186198691,0.9395372302327956,-460.8685217749844,-7.313827050541978
codex_mse_lstm_rmse,mse_rmse_control,lstm,59,2025-11-03,2025-12-31,True,False,5869.186826554424,6743.889548326448,0.6520676702381917,9000.886095779735,0.5286446754600312,0.3336745167654542,3,0,-12359.014911435324,reports\holdout_dispatch_loss_codex_v1\runs\20260914T221004Z\jobs\refit_mse_lstm_rmse_attempt1\final.pt,new_frozen_candidate,6352.835399905841,1.029607099085217,6.0,7.0,0.0,1.0,rmse,False,83.08595554188196,1.435957605891898,-432.14513809508935,-6.857996698466682
codex_mse_dlinear_realized,mse_realized_control,dlinear,59,2025-11-03,2025-12-31,True,False,6186.444630889453,9651.188635472525,0.6873150671010163,9000.886095779735,0.5990314537275384,0.4145964662065312,3,0,-4922.931566538222,reports\holdout_dispatch_loss_codex_v1\runs\20260914T221004Z\jobs\refit_mse_dlinear_realized_attempt1\final.pt,new_frozen_candidate,7283.680378661181,1.0707782529110057,6.0,7.0,0.0,1.0,realized,False,400.34375987691055,6.919059463386993,-114.88733376006076,-1.8232230011778296
codex_mse_dlinear_rmse,mse_rmse_control,dlinear,59,2025-11-03,2025-12-31,True,False,6186.444630889453,9651.188635472525,0.6873150671010163,9000.886095779735,0.5990314537275384,0.4145964662065312,3,0,-4922.931566538222,reports\holdout_dispatch_loss_codex_v1\runs\20260914T221004Z\jobs\refit_mse_dlinear_realized_attempt1\final.pt,new_frozen_candidate,7283.680378661181,1.0707782529110057,6.0,7.0,0.0,1.0,rmse,False,400.34375987691055,6.919059463386993,-114.88733376006076,-1.8232230011778296
