version,metric,n_candidates,n_days,pearson,spearman,block_length,pearson_ci_low,pearson_ci_high,spearman_ci_low,spearman_ci_high
v1,point_mse,16,59,0.35138645183040157,0.4823529411764706,7,-0.17142051467657451,0.5348894388253965,-0.3029411764705882,0.638235294117647
v1,point_mse,16,59,0.35138645183040157,0.4823529411764706,1,-0.038499265665745984,0.5250431799725166,-0.12058823529411765,0.6264705882352941
v1,point_mse,16,59,0.35138645183040157,0.4823529411764706,3,-0.10385968767322547,0.5332019286926865,-0.22647058823529412,0.6323529411764706
v1,centered_mse,16,59,0.2518919545858137,0.3911764705882353,7,-0.1522612995416761,0.3818754967458783,-0.23823529411764705,0.5588235294117647
v1,centered_mse,16,59,0.2518919545858137,0.3911764705882353,1,-0.1213286748272091,0.4433117193715929,-0.17647058823529413,0.5852941176470589
v1,centered_mse,16,59,0.2518919545858137,0.3911764705882353,3,-0.11362564628653164,0.39511853214062387,-0.19705882352941176,0.5471323529411755
v1,listwise_proxy,16,59,0.3195849083858438,0.3735294117647059,7,-0.24091420410628384,0.484590372522787,-0.3382352941176471,0.5529411764705883
v1,listwise_proxy,16,59,0.3195849083858438,0.3735294117647059,1,-0.1578573042137768,0.5201926846805209,-0.20588235294117646,0.5558823529411765
v1,listwise_proxy,16,59,0.3195849083858438,0.3735294117647059,3,-0.16198910789017507,0.4816510663119245,-0.22941176470588234,0.5411764705882353
v1,window_spearman,16,59,0.8493657529573851,0.611764705882353,7,0.47243788746337917,0.8810236856000216,0.2,0.8117647058823529
v1,window_spearman,16,59,0.8493657529573851,0.611764705882353,1,0.5031440314812636,0.8898995649692182,0.18235294117647058,0.8147058823529412
v1,window_spearman,16,59,0.8493657529573851,0.611764705882353,3,0.4834226560450903,0.8852451831251632,0.13227941176470595,0.8147058823529412
v2,point_mse,19,59,0.004953683091779785,0.0824561403508772,7,-0.4383632241818012,0.3331860364860051,-0.47368421052631576,0.32109649122806955
v2,point_mse,19,59,0.004953683091779785,0.0824561403508772,1,-0.3856143199817744,0.31280297158343734,-0.4298245614035088,0.32456140350877194
v2,point_mse,19,59,0.004953683091779785,0.0824561403508772,3,-0.4202772341127841,0.321280652827872,-0.45789473684210524,0.3280701754385965
v2,centered_mse,19,59,-0.10819817108123952,-0.03508771929824562,7,-0.4880857317302295,0.2025540255973058,-0.4842105263157895,0.23333333333333334
v2,centered_mse,19,59,-0.10819817108123952,-0.03508771929824562,1,-0.45750885372319355,0.21502565774646218,-0.45789473684210524,0.24561403508771928
v2,centered_mse,19,59,-0.10819817108123952,-0.03508771929824562,3,-0.47675972283874957,0.2194871345103211,-0.4807017543859649,0.256140350877193
v2,listwise_proxy,19,59,-0.16533442057147002,-0.03859649122807017,7,-0.5177251598197716,0.12410922530691453,-0.4596929824561403,0.09298245614035087
v2,listwise_proxy,19,59,-0.16533442057147002,-0.03859649122807017,1,-0.5136330570201342,0.19003782471703798,-0.4614035087719298,0.161447368421052
v2,listwise_proxy,19,59,-0.16533442057147002,-0.03859649122807017,3,-0.5260860408442577,0.15654422181187333,-0.4807017543859649,0.12109649122806954
v2,window_spearman,19,59,0.7766883444662954,0.6561403508771929,7,0.19693642918668072,0.8522104602933742,0.13508771929824562,0.8140350877192982
v2,window_spearman,19,59,0.7766883444662954,0.6561403508771929,1,0.285714757306685,0.8672994841678647,0.19649122807017544,0.8315789473684211
v2,window_spearman,19,59,0.7766883444662954,0.6561403508771929,3,0.22486897894881944,0.8539995970286886,0.14912280701754385,0.8210526315789474
