source,model,date,tc,td,idle,realized,predicted,oracle,capture_daily
holdout_rmse_v1,lgb_contextual,2025-11-03,55,82,False,5376.501505044559,17739.985426532756,13361.719716678786,0.40238095238095234
holdout_rmse_v1,lgb_contextual,2025-11-04,51,70,False,7005.546466092851,12115.697697316293,7323.682649823298,0.9565606268127794
holdout_rmse_v1,lgb_contextual,2025-11-05,2,24,False,5281.060649925424,7628.349020802705,5662.824070401962,0.9325842696629211
holdout_rmse_v1,lgb_contextual,2025-11-06,53,69,False,41.13818991818263,4998.472798222999,922.5949328182957,0.04458965517241223
holdout_rmse_v1,lgb_contextual,2025-11-07,58,70,False,3818.124134488312,2462.3362273576263,6793.7950222018635,0.5620016679942252
holdout_rmse_v1,lgb_contextual,2025-11-08,59,78,False,7143.783000647404,3527.6829437036204,8037.637510627493,0.8887913881662093
holdout_rmse_v1,lgb_contextual,2025-11-09,54,72,False,12393.313173403303,14531.70308444292,12573.171464875311,0.9856950736753679
holdout_rmse_v1,lgb_contextual,2025-11-10,47,75,False,10473.304040076982,13490.591218256644,11155.171685390125,0.9388743029203054
holdout_rmse_v1,lgb_contextual,2025-11-11,56,74,False,6846.9396716940355,3251.1458024153567,7485.846206756217,0.9146513944561742
holdout_rmse_v1,lgb_contextual,2025-11-12,37,75,False,9644.027994032338,14897.865561260714,10483.503486127383,0.919924146235473
holdout_rmse_v1,lgb_contextual,2025-11-13,56,69,False,9330.03394341406,4434.555807106577,9537.757783219018,0.9782208937859135
holdout_rmse_v1,lgb_contextual,2025-11-14,58,70,False,3598.3015756160844,2909.598537285167,3791.572488594169,0.9490261854258403
holdout_rmse_v1,lgb_contextual,2025-11-15,55,84,False,7932.910260305265,7009.429594694769,8345.596517840402,0.9505504182172075
holdout_rmse_v1,lgb_contextual,2025-11-16,58,88,False,7319.7663934015745,4224.267696853604,9645.889090707162,0.758848284960422
holdout_rmse_v1,lgb_contextual,2025-11-17,0,24,False,763.526840953074,4292.60038237731,7342.5831204987235,0.10398613518197582
holdout_rmse_v1,lgb_contextual,2025-11-18,38,69,False,9044.605340732942,13436.061175215495,10104.393321423157,0.8951161195949022
holdout_rmse_v1,lgb_contextual,2025-11-19,54,88,False,8716.931434214255,11759.406611492757,10200.934927737997,0.8545227957989914
holdout_rmse_v1,lgb_contextual,2025-11-20,55,69,False,8526.049723975988,8913.56304194283,8685.117815841211,0.9816849816849818
holdout_rmse_v1,lgb_contextual,2025-11-21,54,69,False,6371.688752266469,9402.462138412175,7103.440151188545,0.8969863357264101
holdout_rmse_v1,lgb_contextual,2025-11-22,56,88,False,2126.702211895992,2849.4158044701567,6264.524578776868,0.3394834173212271
holdout_rmse_v1,lgb_contextual,2025-11-23,54,73,False,5747.464202083447,6039.8643527011845,6269.694291762487,0.9167056533577437
holdout_rmse_v1,lgb_contextual,2025-11-24,55,72,False,7519.555916784296,11793.666407881468,10017.17946801529,0.7506659874462795
holdout_rmse_v1,lgb_contextual,2025-11-25,56,69,False,93.46522941816815,2410.103027332019,1565.2300239538,0.059713414634146394
holdout_rmse_v1,lgb_contextual,2025-11-26,57,82,False,6633.664355482982,3668.3168031529312,7918.575043866373,0.8377346073926941
holdout_rmse_v1,lgb_contextual,2025-11-27,57,71,False,2603.254308315015,3159.019393881836,3235.7981197025892,0.8045169111335929
holdout_rmse_v1,lgb_contextual,2025-11-28,58,71,False,2460.707028470914,3326.8830637719825,6405.093051558167,0.38417974706429875
holdout_rmse_v1,lgb_contextual,2025-11-29,0,26,False,2844.821475345219,4199.688112999591,5801.283300285127,0.49037796089106683
holdout_rmse_v1,lgb_contextual,2025-11-30,54,88,False,10816.630246835208,12943.5671311638,10816.630246835208,1.0
holdout_rmse_v1,lgb_contextual,2025-12-01,51,67,False,-655.5768710896573,9080.639975841788,7602.92350373086,-0.08622694556481551
holdout_rmse_v1,lgb_contextual,2025-12-02,56,70,False,6280.00826683903,4178.03486945378,7113.5250682128,0.8828264758497318
holdout_rmse_v1,lgb_contextual,2025-12-03,56,84,False,7581.185258296558,5523.258345739566,9007.2147950591,0.8416791906034271
holdout_rmse_v1,lgb_contextual,2025-12-04,0,26,False,445.3906572226281,6640.825438929715,11898.293271518727,0.03743315508021407
holdout_rmse_v1,lgb_contextual,2025-12-05,56,69,False,4102.203839750415,1964.4995348185635,4598.152699291483,0.8921417160379455
holdout_rmse_v1,lgb_contextual,2025-12-06,57,72,False,-237.1259859053263,2853.624698181906,1382.2635419667454,-0.17154904163060902
holdout_rmse_v1,lgb_contextual,2025-12-07,55,73,False,10816.630246835208,13768.463573425126,15016.027872077113,0.7203389830508474
holdout_rmse_v1,lgb_contextual,2025-12-08,55,79,False,4895.73092282927,6555.123600412084,7915.851798133639,0.6184717763391631
holdout_rmse_v1,lgb_contextual,2025-12-09,53,70,False,10021.28978750909,12970.99958544668,10593.934918223893,0.945945945945946
holdout_rmse_v1,lgb_contextual,2025-12-10,50,86,False,4094.027739828541,17338.21708772725,7441.205337455161,0.5501834117144078
holdout_rmse_v1,lgb_contextual,2025-12-11,54,64,False,3698.3363172282875,5376.38349727388,25769.030882166222,0.1435186419753087
holdout_rmse_v1,lgb_contextual,2025-12-12,53,69,False,-11244.29753726221,5308.1048359474935,9467.73282781811,-1.1876441532258064
holdout_rmse_v1,lgb_contextual,2025-12-13,57,69,False,3426.8866184602816,5822.6038607943765,4825.562806145682,0.7101527337072286
holdout_rmse_v1,lgb_contextual,2025-12-14,56,71,False,345.4386310181945,7852.789084975568,3981.935636852956,0.08675143511139348
holdout_rmse_v1,lgb_contextual,2025-12-15,47,78,False,11961.920508264817,17943.199807778234,11961.920508264817,1.0
holdout_rmse_v1,lgb_contextual,2025-12-16,54,68,False,9257.762946556015,10844.227989581505,9575.899130286462,0.9667774086378739
holdout_rmse_v1,lgb_contextual,2025-12-17,56,74,False,5505.458007119696,4539.640037564018,7365.352127168311,0.7474806244241752
holdout_rmse_v1,lgb_contextual,2025-12-18,57,70,False,-2200.423909751849,2405.605326511611,4304.280762294158,-0.5112175602083715
holdout_rmse_v1,lgb_contextual,2025-12-19,48,72,False,8757.834203356477,10294.23330800511,8844.185907706433,0.9902363309352518
